Z;IDM;BATCH;ITERASI;FID
18;256;10;11500;116,8710128
18;256;10;4000;121,1764995
18;256;10;3500;122,8326598
18;256;10;6500;125,4999189
18;256;10;10500;126,0298507
18;256;10;5500;132,1110158
18;256;10;7000;133,5245622
18;256;10;7500;140,6469072
18;256;10;6000;141,1769677
18;256;10;9000;143,2944723
18;256;10;11000;152,2861189
18;256;10;12500;154,0884582
18;256;10;12000;162,2540424
18;256;10;8000;163,4979955
18;256;10;13000;165,5391183
18;256;10;3000;169,4815533
18;256;10;5000;176,5512652
18;256;10;8500;190,672172
18;512;10;4000;84,07811424
18;512;10;7000;92,41998822
18;512;10;1500;103,1372507
18;512;10;5000;108,5162973
18;512;10;3500;122,142995
18;512;10;4500;125,6067605
18;512;10;2500;128,000717
18;512;10;8500;130,6359843
18;512;10;6500;141,2108969
18;512;10;12000;146,019405
18;512;10;11000;146,3360828
18;512;10;8000;146,3644797
18;512;10;10000;146,693437
18;512;10;12500;152,8263699
18;512;10;2000;156,4243621
18;512;10;6000;157,8141996
18;512;10;3000;160,416247
18;512;10;5500;169,2923645
18;512;10;9000;182,0471205
18;512;10;11500;202,7138236
18;512;10;10500;261,9147982
18;512;10;13000;263,6487077
18;512;10;7500;275,3358107
